单词,English,Arabic
作品（五级）,work,العمل
作为（五级）,as,كما
作文（五级）,composition,كتابة مقال
挨（六级）,suffer,تعاني
癌症（六级）,cancer,السرطان
爱不释手（六级）,can't put it down,لا يستطيع تركه من شدة حبه له
爱戴（六级）,love,تمايل
暧昧（六级）,ambiguous,غامض
安宁（六级）,tranquility,مسالم
安详（六级）,serene,هادئ
安置（六级）,resettlement,الترتيب ل
按摩（六级）,massage,التدليك
案件（六级）,case,قضية
案例（六级）,case,الحالات
暗示（六级）,imply,تلميحات
昂贵（六级）,expensive,باهظة الثمن
凹凸（六级）,bump,وعرة
熬（六级）,boil,يغلي على نار هادئة
奥秘（六级）,mystery,غامض
巴不得（六级）,wish,يتمنى بشدة
巴结（六级）,flatter,تملق
扒（六级）,grill,التمسك
疤（六级）,scar,ندبة
拔苗助长（六级）,pulling seedlings to promote,افسد الاشياء بالمحاس الزائد
把关（六级）,gatekeeper,راقب عن كثب
把手（六级）,handle,مقبض
罢工（六级）,strike,إضراب
霸道（六级）,domineering,استبدادية
掰（六级）,break,كسر
摆脱（六级）,get rid of,تخلص من
败坏（六级）,corrupt,إفساد
拜访（六级）,visit,زيارة
拜年（六级）,new year's greetings,تهنئة العام الجديد
拜托（六级）,come on.,رجاءً
颁布（六级）,promulgate,إصدار
颁发（六级）,issue,صادر
斑（六级）,spot,بقعة
版本（六级）,version,الإصدار
半途而废（六级）,give up halfway,الاستسلام  في منتصف الطريق
扮演（六级）,play,لعب دور
伴侣（六级）,significant other,رفيق
伴随（六级）,accompany,مرافقة
绑架（六级）,kidnapping,الاختطاف
榜样（六级）,role model,القدوة
磅（六级）,pound,رطل
包庇（六级）,cover up,التستر
包袱（六级）,burden,الأمتعة
包围（六级）,surround,تحيط
包装（六级）,packaging,تغليف
饱和（六级）,saturation,تشبع
饱经沧桑（六级）,weathered the vicissitudes of life,مر بتغيرات كثيره
保管（六级）,custody,الحفظ
保密（六级）,confidential,السرية
保姆（六级）,nanny,المربية
保守（六级）,conservative,متحفظ
保卫（六级）,defend,الحراسة
保养（六级）,maintenance,الحفاظ على
保障（六级）,guarantee,الضمان
保重（六级）,take care.,اعتنِ بنفسك
报仇（六级）,revenge,الانتقام
报酬（六级）,compensation,أجر
报答（六级）,repay,رد الجميل
报复（六级）,revenge,القصاص
报警（六级）,alarm,إبلاغ
报销（六级）,reimbursement,تعويض النفقات
抱负（六级）,ambition,التطلعات
暴力（六级）,violence,العنف
暴露（六级）,expose,التعرض
曝光（六级）,exposure,فضح
爆发（六级）,outbreak,ثوران
爆炸（六级）,explosion,انفجار
卑鄙（六级）,despicable,حقير
悲哀（六级）,sad,حزين
悲惨（六级）,tragic,بائس
北极（六级）,arctic,القطب الشمالي
贝壳（六级）,shell,صدفة
备份（六级）,backup,النسخ الاحتياطي
备忘录（六级）,memorandum,مذكرة
背叛（六级）,betrayal,خيانة
背诵（六级）,recite,تلاوة
被动（六级）,passive,سلبي
被告（六级）,defendant,متهم
奔波（六级）,running around,إندفاع
奔驰（六级）,mercedes benz,الركض
本能（六级）,instinct,غريزي
本钱（六级）,capital,رأس المال
本人（六级）,myself,نفسي
本身（六级）,itself,نفسه
本事（六级）,ability,القدرة
笨拙（六级）,clumsy,الخرقاء
崩溃（六级）,collapse,الانهيار
甭（六级）,don't,لا داعي
迸发（六级）,burst,الاندفاع
蹦（六级）,jump,القفز
逼迫（六级）,force,الاجبار
鼻涕（六级）,snot,مخاط الأنف
比方（六级）,for example,قارن
比喻（六级）,metaphor,تشبيه
比重（六级）,specific gravity,نسبة
鄙视（六级）,despise,احتقار
闭塞（六级）,occlusion,صعب الوصول
弊病（六级）,disease,داء
弊端（六级）,drawback,سوء الممارسة
臂（六级）,arm,الذراع
边疆（六级）,frontier,المناطق الحدودية
边界（六级）,boundary,الحدود
边境（六级）,border,الحدود
边缘（六级）,edge,الحافة
编织（六级）,knitting,نسج
鞭策（六级）,spur,حفز
贬低（六级）,demean,الحط من قيمة
贬义（六级）,derogatory,معنى سلبي
扁（六级）,flat,مسطح
变故（六级）,change,تغيير
变迁（六级）,change,تغيرات
变质（六级）,deterioration,تغيير في الجودة
便利（六级）,convenience,ملائم
便条（六级）,note,ملاحظة لاصقة
便于（六级）,convenient,يسهل
遍布（六级）,all over,لتغيطه جميع الارجاء
辨认（六级）,identify,تحديد
辩护（六级）,defense,مرافعة
辩解（六级）,justification,تبرير
辩证（六级）,dialectical,حجاجي
辫子（六级）,braids,جديلة
标本（六级）,specimen,عينة
标记（六级）,tag,علامة
标题（六级）,title,العنوان
表决（六级）,vote,التصويت
表态（六级）,state,التعبير عن الرأي
表彰（六级）,commend,مدح
憋（六级）,hold back,كبح
别墅（六级）,villa,فيلا
别致（六级）,chic,غير العاده
别扭（六级）,awkward,محرج
濒临（六级）,on the verge,على حافة
冰雹（六级）,hail,البَرَد
丙（六级）,c,الثالث في الترتيب
并非（六级）,not,ليس كذلك
并列（六级）,juxtaposition,الوقوف بجانب
拨（六级）,dial,تنحى جانبًا
波浪（六级）,wave,موجات
波涛（六级）,wave,أمواج
剥削（六级）,exploitation,الاستغلال
播种（六级）,sow,البذر
伯母（六级）,aunt,عمة
博大精深（六级）,extensive and profound,واسعة وعميقة
博览会（六级）,expo,معرض
搏斗（六级）,fight,المصارعة
薄弱（六级）,weak,ضعيف
补偿（六级）,compensation,التعويض
补救（六级）,remedy,معالجة
补贴（六级）,subsidy,دعم
捕捉（六级）,capture,القبض
哺乳（六级）,breastfeeding,الإرضاع
不得已（六级）,as a last resort,ليس لديهم خيار سوى
不妨（六级）,might as well,ممكن
不敢当（六级）,not deserve,لا يجرؤ على
不顾（六级）,regardless of,بغض النظر عن
不禁（六级）,can't help but,لا يمكن أن يحتمل
不堪（六级）,unbearable,لا يستحق
不可思议（六级）,incredible,لا يمكن تصوره
不愧（六级）,worthy of,إثبات الذات
不料（六级）,unexpectedly,لا أتوقع
不免（六级）,inevitably,حتمًا
不时（六级）,from time to time,من وقت لآخر
不惜（六级）,spare no,بلا تردد
不相上下（六级）,comparable,متساويان في المستوى
不像话（六级）,outrageous,غير منطقي
不屑一顾（六级）,dismissive,لا تهتم
不言而喻（六级）,it goes without saying,من البديهي
不由得（六级）,can't help but,لا يمكن إلا
不择手段（六级）,unscrupulous,بأي وسيلة ضرورية
不止（六级）,more than,أكثر من
布告（六级）,notice,إخبار
布局（六级）,layout,التصميم
布置（六级）,layout,التخطيط
步伐（六级）,pace,الخطوة
部署（六级）,deploy,عمليات النشر
部位（六级）,location,الجزء
才干（六级）,talent,الموهبة
财富（六级）,wealth,الثروة
财务（六级）,finance,المالية
财政（六级）,finance,الشؤون المالية
裁缝（六级）,tailor,الخياط
裁判（六级）,referee,الحكم
裁员（六级）,layoffs,تقليص الوظائف
采购（六级）,purchase,المشتريات
采集（六级）,acquisition,جمع
采纳（六级）,adopt,التبني
彩票（六级）,lottery,اليانصيب
参谋（六级）,staff officer,تقديم المشورة
参照（六级）,refer to,المرجع
残疾（六级）,disability,الإعاقة
残酷（六级）,cruel,قاسية
残留（六级）,residue,متبقي
残忍（六级）,cruel,قاسية
灿烂（六级）,brilliant,رائع
仓促（六级）,hastily,متسرع
仓库（六级）,warehouse,مستودع
苍白（六级）,pale,شاحب
舱（六级）,cabin,كوخ
操劳（六级）,toil,مثقاب
操练（六级）,drill,الممارسة
操纵（六级）,manipulate,سيطرة
操作（六级）,operation,مناورة
嘈杂（六级）,noisy,صاخبة
草案（六级）,draft,مسودة
草率（六级）,sloppy,تترع
侧面（六级）,side,الجانب
测量（六级）,measure,القياس
策划（六级）,plan,التخطيط
策略（六级）,strategy,الاستراتيجية
层出不穷（六级）,one after another.,طبقة تلو الأخرى
层次（六级）,level,الطبقات
差别（六级）,difference,الاختلافات
插座（六级）,socket,كوبس
查获（六级）,seized,التحقيق والقبض على
岔（六级）,fork,الفرع
刹那（六级）,moment,في ومضة
诧异（六级）,surprised,مفاجأة
柴油（六级）,diesel,ديزل
搀（六级）,mix,مد يد العون لدعم
馋（六级）,greedy,اشتهاء
缠绕（六级）,winding,متشابك
产业（六级）,industry,الصناعة
阐述（六级）,elaborate,التفصيل
颤抖（六级）,trembling,يرتجف
昌盛（六级）,prosperity,مزدهرة
尝试（六级）,try,محاولة
偿还（六级）,repay,السداد
场合（六级）,occasion,مناسبة
场面（六级）,scene,المشهد
场所（六级）,place,المكان
敞开（六级）,open,مفتوح
畅通（六级）,unblocked,دون عائق
畅销（六级）,best seller,الأكثر مبيعاً
倡导（六级）,advocate,داعية
倡议（六级）,initiative,مبادرة
钞票（六级）,banknote,ورقة نقدية
超越（六级）,transcend,ما وراء
巢穴（六级）,nest,العش
朝代（六级）,dynasty,السلالة
嘲笑（六级）,mock,السخرية
潮流（六级）,trend,التيارات
撤退（六级）,retreat,تراجع
撤销（六级）,revoke,الانسحاب
沉淀（六级）,precipitation,الترسبات
沉闷（六级）,dull,باهتة
沉思（六级）,meditate,تأملي
沉重（六级）,heavy,ثقيل
沉着（六级）,calm,الاتزان
陈旧（六级）,outdated,قديم الطراز
陈列（六级）,display,العرض
陈述（六级）,state,تحدث عن
衬托（六级）,foil,الخلفية
称心如意（六级）,satisfactory,مرضية
称号（六级）,title,نزب
成本（六级）,cost,التكلفة
成交（六级）,it's a deal!,صفقة
成天（六级）,all day long,يوما بعد يوم
成效（六级）,effect,الفعالية
成心（六级）,intentional,متعمد
成员（六级）,member,العضوية
呈现（六级）,present,العرض التقديمي
诚挚（六级）,sincere,الإخلاص
承办（六级）,undertake,مورد
承包（六级）,contract,متعاقد
承诺（六级）,promise,الوعد
城堡（六级）,castle,القلعة
乘（六级）,multiply,مضاعفة
盛（六级）,fill,شينج
惩罚（六级）,punishment,العقاب
澄清（六级）,clarify,التوضيح
橙（六级）,orange,برتقالي
秤（六级）,scale,التوازن الروماني
吃苦（六级）,suffer,مرر بالمعاناة
吃力（六级）,laborious,إجهاد
迟钝（六级）,sluggish,استجابة بطيئة
迟缓（六级）,sluggish,بطيء
迟疑（六级）,hesitate,متردد
持久（六级）,persistent,مثابرة
赤道（六级）,equator,خط الاستواء
赤字（六级）,deficit,العجز
冲动（六级）,impulse,الاندفاع
冲击（六级）,impact,التأثير
冲突（六级）,conflict,الصراع
充当（六级）,act as,الوفرة
充沛（六级）,abundant,الوفرة
充实（六级）,enrich,الامتلاء
充足（六级）,sufficient,الكفاية
重叠（六级）,overlap,التداخل
崇拜（六级）,worship,العشق
崇高（六级）,sublime,الخشوع
崇敬（六级）,reverence,الخشوع
稠密（六级）,dense,كثيف
筹备（六级）,prepare,التحضير
丑恶（六级）,ugly,قبيح
出路（六级）,way out,مخرج
出卖（六级）,betray,بيع
出身（六级）,birth,خارج
出神（六级）,trance,خارج العقل
出息（六级）,promising,الخروج من العالم
初步（六级）,preliminary,أولي
除（六级）,except,التخلص من
处分（六级）,punishment,للتعامل مع
处境（六级）,situation,الموقف
处置（六级）,dispose of,التخلص
储备（六级）,reserve,المخزون
储存（六级）,store,المخزون
储蓄（六级）,savings,الحفظ
触犯（六级）,offend,الإساءة
川流不息（六级）,endless stream,تدفق التيار دون توقف
穿越（六级）,through,المرور عبر
传达（六级）,convey,نقل
传单（六级）,flyer,النشرة
传授（六级）,teach,تمر على
船舶（六级）,ship,سفينة
喘气（六级）,gasp,يلهث
串（六级）,string,خيط
床单（六级）,bed sheet,الملاءات
创立（六级）,create,ابتكار
创新（六级）,innovation,الابتكار
创业（六级）,entrepreneurship,ريادة الأعمال
创作（六级）,create,إنشاء
吹牛（六级）,brag,التفاخر
吹捧（六级）,tout,التباهي
炊烟（六级）,cooking smoke,الدخان
垂直（六级）,vertical,عمودي
锤（六级）,hammer,مطرقة
纯粹（六级）,pure,نقي
纯洁（六级）,purity,نقي
慈善（六级）,charity,خيرية
慈祥（六级）,kind,خيرية
磁带（六级）,tape,شريط
雌雄（六级）,male and female,الذكور والإناث
次品（六级）,defective product,دون المستوى
次序（六级）,order,النظام
伺候（六级）,serve,خدمة
刺（六级）,thorn,يغتال
从容（六级）,calmly,خاضع
丛（六级）,bundle,التكتل
凑合（六级）,make do with it,الاكتفاء بما يملكه المرء
粗鲁（六级）,rude,وقح
窜（六级）,flee,خبيث
摧残（六级）,destroy,خراب
脆弱（六级）,fragile,هش
搓（六级）,rub,فرك
磋商（六级）,consultation,استشارة
挫折（六级）,frustration,إحباط
搭（六级）,take,شريك (في الجريمة)
搭档（六级）,partner,شريك
搭配（六级）,match,التطابق
达成（六级）,achieve,الوصول
答辩（六级）,defense,الرد
答复（六级）,reply,الرد
打包（六级）,pack,حزمة
打官司（六级）,file a lawsuit,رفع دعوى قضائية
打击（六级）,hit,قتال
打架（六级）,fight,قتال
打量（六级）,look at,قياس
打猎（六级）,hunting,اصطياد
打仗（六级）,war,خوض حرب
大不了（六级）,big deal,صفقة كبيرة
大臣（六级）,minister,وزير
大伙儿（六级）,"hey, guys.",مجموعة كبيرة من الناس
大肆（六级）,wantonly,عدد كبير من الناس
大体（六级）,roughly,بشكل عام
大意（六级）,careless,إلى حد كبير
大致（六级）,roughly,إلى حد كبير
歹徒（六级）,gangster,العصابات
代价（六级）,price,التكلفة
代理（六级）,agent,وكيل
带领（六级）,lead,الرصاص
怠慢（六级）,snub,الإهمال
逮捕（六级）,arrest,التوقيف
担保（六级）,guarantee,الضمان
胆怯（六级）,timid,خجول
诞辰（六级）,birthday,الولادة
诞生（六级）,birth,الولادة
淡季（六级）,off-season,في غير موسمها
淡水（六级）,fresh water,المياه العذبة
蛋白质（六级）,protein,البروتين
当场（六级）,on the spot,على الفور
当初（六级）,at first,في البداية
当代（六级）,contemporary,معاصر
当面（六级）,in person,في الوجه
当前（六级）,current,الحالي
当事人（六级）,party,الأشخاص المعنيين
当务之急（六级）,urgent,حاجة الساعة
当选（六级）,elected,المنتخبون
党（六级）,party,الحزب
档案（六级）,file,الأرشيف
档次（六级）,grade,ملف
导弹（六级）,missile,الصواريخ
导航（六级）,navigation,الملاحة
导向（六级）,guide,الدليل
捣乱（六级）,make trouble,المفسدات
倒闭（六级）,close down,الانهيار
盗窃（六级）,theft,سرقة
稻谷（六级）,rice,أرز
得不偿失（六级）,the gain is not worth the loss,الحصول على أكثر مما يستحقه المرء من المال
得力（六级）,benefit from,أن يكون قادراً على فعل شيء ما
得天独厚（六级）,unique,أن يكون قادراً على فعل ما يريد المرء أن يفعله
得罪（六级）,offend,أن يكون مستاءً من (شيء ما)
灯笼（六级）,lantern,فانوس
登陆（六级）,login,تسجيل الدخول
登录（六级）,login,تسجيل الدخول
蹬（六级）,pedal,خطوة على
等候（六级）,wait,الانتظار
等级（六级）,grade,درجة
瞪（六级）,stare,نظرة
堤坝（六级）,dike,ديك
敌视（六级）,hostility,عدائي
抵达（六级）,arrive,وصول
抵抗（六级）,resist,مقاومة
抵制（六级）,boycott,مقاومة
地步（六级）,point,تضاريس
地势（六级）,topography,التضاريس
地质（六级）,geology,جيولوجية
递增（六级）,increment,تزايدي
颠簸（六级）,bumpy,وعرة
颠倒（六级）,upside down,وعرة
典礼（六级）,ceremony,حفل
典型（六级）,typical,نموذجي
点缀（六级）,embellishment,الزخرفة
电源（六级）,power supply,الطاقة
垫（六级）,pad,وسادة
惦记（六级）,miss,فكر في
奠定（六级）,lay,وضع
叼（六级）,hold,الإمساك
雕刻（六级）,engraving,النحت
雕塑（六级）,sculpture,النحت
吊（六级）,hang,تعليق
调动（六级）,transfer,تعبئة
跌（六级）,fall,الإسقاط
丁（六级）,ding,النحت
叮嘱（六级）,advise,الحث
盯（六级）,stare,راقب
定期（六级）,regular,بانتظام
定义（六级）,definition,تعريف
丢人（六级）,shame,شخص فقد وظيفته أو وظيفتها
丢三落四（六级）,lost,شخص فقد شيئًا ما
东道主（六级）,host,شخص يستضيف شيئًا ما
东张西望（六级）,i look around.,الشخص الذي ينظر حولك
董事长（六级）,chairperson,رئيس مجلس الإدارة
动荡（六级）,turbulence,الاضطراب
动机（六级）,motivation,الدافع
动静（六级）,movement,الدافع
动力（六级）,power,الدافع
动脉（六级）,artery,الشرايين
动身（六级）,set off,الحركة
动手（六级）,hands-on,اليدين
动态（六级）,dynamic,الديناميكية
动员（六级）,mobilize,التعبئة
冻结（六级）,freeze,التجميد
栋（六级）,building,البناء
兜（六级）,pocket,الجيب
陡峭（六级）,steep,انحدار
斗争（六级）,struggle,النضال
督促（六级）,urge,الإلحاح
毒品（六级）,drugs,المخدرات
独裁（六级）,dictatorship,الديكتاتورية
堵塞（六级）,blockage,الانسداد
赌博（六级）,gambling,القمار
杜绝（六级）,put an end to,القضاء على
端（六级）,end,دوان
端午节（六级）,dragon boat festival,مهرجان قوارب التنين
端正（六级）,correct,النهاية
短促（六级）,short,قصير
断定（六级）,conclude,تحديد
断绝（六级）,cut off,مقطوع
堆积（六级）,pile up,تكدس
队伍（六级）,team,الطابور
对策（六级）,countermeasure,إجراء مضاد
对称（六级）,symmetry,متماثل
对付（六级）,deal with,ضد
对抗（六级）,confrontation,المواجهة
对立（六级）,opposition,المضاد
对联（六级）,couplet,ثنائية
对应（六级）,correspond,النظير
对照（六级）,contrast,نقطة مقابلة
兑现（六级）,cash,الشرف
顿时（六级）,suddenly,في آن واحد
多元化（六级）,diversity,تنويع
哆嗦（六级）,shiver,يرتجف
堕落（六级）,fall,السقوط
额外（六级）,extra,إضافي
恶心（六级）,yuck,الغثيان
恶化（六级）,deteriorate,التدهور
遏制（六级）,contain,الاحتواء
恩怨（六级）,grudge,الحقد
而已（六级）,that's it.,هذا كل شيء
二氧化碳（六级）,carbon dioxide,ثاني أكسيد الكربون
发布（六级）,publish,إطلاق
发财（六级）,get rich,الثراء
发呆（六级）,in a daze,ذهول
发动（六级）,launch,الإطلاق
发觉（六级）,find,اكتشف
发射（六级）,launch,الإطلاق
发誓（六级）,swear,أقسم
发行（六级）,issue,الإصدار
发炎（六级）,inflammation,ملتهب
发扬（六级）,carry forward,المضي قدما
发育（六级）,development,تطوير
法人（六级）,legal person,الشخص الاعتباري
番（六级）,foreign,معجب
凡是（六级）,any,الجميع
繁华（六级）,bustling,صاخب
繁忙（六级）,busy,مشغول
繁体字（六级）,traditional chinese,الصينية التقليدية
繁殖（六级）,reproduction,التكاثر
反驳（六级）,refute,دحض
反常（六级）,abnormal,غير طبيعي
反感（六级）,disgust,لا يعجبني
反抗（六级）,resist,مقاومة
反馈（六级）,feedback,تعليق
反面（六级）,reverse side,يعكس
反射（六级）,reflection,انعكاس
反思（六级）,reflection,انعكاس
反问（六级）,rhetorical question,سؤال بلاغي
反之（六级）,on the contrary.,على العكس تماما
泛滥（六级）,flood,فيضان
范畴（六级）,category,فئة
贩卖（六级）,sell,الاتجار
方位（六级）,azimuth,موضع
方言（六级）,dialect,اللهجة
方圆（六级）,circumference,مربع
方针（六级）,policy,سياسة
防守（六级）,defense,الدفاع
防御（六级）,defense,الدفاع
防止（六级）,prevent,يمنع
防治（六级）,control,وقاية
访问（六级）,visit,وصول
纺织（六级）,textile,المنسوجات
放大（六级）,enlarge,تكبير
放射（六级）,radiation,إشعاع
飞禽走兽（六级）,birds and beasts,الطيور والحيوانات
飞翔（六级）,fly,سافر
飞跃（六级）,leap,خطوة
非法（六级）,illegal,غير قانوني
肥沃（六级）,fertile,خصبة
诽谤（六级）,slander,التشهير
肺（六级）,lung,رئة
废除（六级）,repeal,إلغاء
废寝忘食（六级）,forget food and sleep,انسى النوم والطعام
废墟（六级）,ruins,أطلال
沸腾（六级）,boiling,غليان
分辨（六级）,distinguish,يميز
分寸（六级）,measure,يقيس
分红（六级）,dividend,أرباح الأسهم
分解（六级）,decomposition,انفصال
分裂（六级）,split,ينقسم
分泌（六级）,secretion,إفراز
分明（六级）,clear,متميز
分歧（六级）,disagreement,الاختلافات
分散（六级）,dispersion,تشتت
吩咐（六级）,order,تعليمات
坟墓（六级）,grave,خطير
粉末（六级）,powder,مسحوق
粉色（六级）,pink,لون القرنفل
粉碎（六级）,smash,سحق
分量（六级）,weight,كمية
愤怒（六级）,anger,الغضب
丰满（六级）,plump,ممتلىء
丰盛（六级）,abundant,ثري
丰收（六级）,harvest,محصول
风暴（六级）,storm,عاصفة
风度（六级）,demeanor,سلوك
风光（六级）,scenery,مشهد
风气（六级）,ethos,أَجواء
风趣（六级）,funny,مضحك
风土人情（六级）,local customs,العادات والممارسات المحلية
风味（六级）,flavor,نكهة
封闭（六级）,closed,مغلق
封建（六级）,feudal,إقطاعي
封锁（六级）,block,حصار
锋利（六级）,sharp,حاد
逢（六级）,every,كل
奉献（六级）,dedication,إخلاص
否决（六级）,veto,حق النقض
夫妇（六级）,couple,زوج
夫人（六级）,madam,سيدة
敷衍（六级）,perfunctory,سطحي
服从（六级）,obey,يطيع
服气（六级）,convinced,مقتنع
俘虏（六级）,prisoner,أسير
符号（六级）,symbol,رمز
幅度（六级）,amplitude,السعة
辐射（六级）,radiation,إشعاع
福利（六级）,welfare,رعاية
福气（六级）,good luck,بركات
抚摸（六级）,touch,عناق
抚养（六级）,raise,رفع
俯视（六级）,overlook,تطل على
辅助（六级）,assist,مساعدة
腐败（六级）,corruption.,فساد
腐烂（六级）,rot,تعفن
腐蚀（六级）,corrosion,تآكل
腐朽（六级）,rot,فساد
负担（六级）,burden,حرج
附和（六级）,echo,اذهب مع
附件（六级）,annex,زائدة
附属（六级）,affiliated,الشركات التابعة
复活（六级）,resurrection,القيامة
复兴（六级）,revival,إحياء
副（六级）,vice,نائب
赋予（六级）,give,منح
富裕（六级）,rich,ثري
腹泻（六级）,diarrhea,إسهال
覆盖（六级）,cover,غطاء
改良（六级）,improve,تحسين
钙（六级）,calcium,الكالسيوم
盖章（六级）,seal,ختم
干旱（六级）,drought,جفاف
干扰（六级）,interference,تدخل
干涉（六级）,interference,يضع شخصاً ما في ورطة
干预（六级）,intervene,تدخل
尴尬（六级）,embarrassing,محرج
感慨（六级）,sigh,مشاعر
感染（六级）,infection,إصابة
干劲（六级）,drive,تحفيز
纲领（六级）,program,برنامج
岗位（六级）,position,بريد
港口（六级）,port,ميناء
港湾（六级）,harbor,الميناء
杠杆（六级）,leverage,رافعة
高超（六级）,superb,رائع
高潮（六级）,orgasm,ذروة
高峰（六级）,peak,قمة
高明（六级）,clever,ماهر
高尚（六级）,noble,النبيل
高涨（六级）,soaring,عالي
稿件（六级）,manuscript,مخطوطة
告辞（六级）,farewell,وداع
告诫（六级）,admonition,تحذير
疙瘩（六级）,pimple,بثرة
鸽子（六级）,pigeon,حمامة
搁（六级）,put,يضع
割（六级）,cut,يقطع
歌颂（六级）,praise,مدح
革命（六级）,revolution,ثورة
格局（六级）,pattern,نمط
格式（六级）,format,شكل
隔阂（六级）,estrangement,فجوة
隔离（六级）,isolation,عزل
个体（六级）,individual,فردي
各抒己见（六级）,express your opinions,عبر عن آرائك الخاصة
根深蒂固（六级）,deeply rooted,متأصل
根源（六级）,root cause,مصدر
跟前（六级）,front,امام
跟随（六级）,follow,يتبع
跟踪（六级）,track,مسار
更新（六级）,update,تجديد
更正（六级）,correct,صحيح
耕地（六级）,arable land,الأراضي الصالحة للزراعة
工艺品（六级）,crafts,الحرف اليدوية
公安局（六级）,public security bureau,مكتب الأمن العام
公道（六级）,fair,عدالة
公告（六级）,announcement,إعلان
公关（六级）,public relations,العلاقات العامة
公民（六级）,citizen,مواطن
公然（六级）,openly,علانية
公认（六级）,recognized,مقبول
公式（六级）,formula,صيغة
公务（六级）,official business,الأعمال الرسمية
公正（六级）,justice,فقط
公证（六级）,notarization,التصديق
功劳（六级）,credit,ائتمان
功效（六级）,efficacy,تأثير
攻击（六级）,attack,هجوم
攻克（六级）,conquer,يأسر
供不应求（六级）,in short supply,الطلب يفوق العرض
供给（六级）,supply,إمداد
宫殿（六级）,palace,قصر
恭敬（六级）,respect,احترام
巩固（六级）,consolidate,توحيد
共和国（六级）,republic,جمهورية
共计（六级）,total,المجموع
共鸣（六级）,resonance,صدى
勾结（六级）,collusion,التواطؤ
钩子（六级）,hook,خطاف
构思（六级）,idea,الحمل
孤独（六级）,lonely,وحيد
孤立（六级）,isolation,معزول
姑且（六级）,appease,مبدئيًا
辜负（六级）,let down,يفشل
古董（六级）,antique,عتيق
古怪（六级）,weird,غريب
股东（六级）,shareholder,مساهم
股份（六级）,shares,الأسهم
骨干（六级）,backbone,العمود الفقري
鼓动（六级）,agitate,التحريض
固然（六级）,of course,بالطبع
固体（六级）,solid,صلب
固有（六级）,inherent,متأصل
固执（六级）,stubborn,عنيد
故乡（六级）,hometown,بيت
故障（六级）,fault,عيب
顾虑（六级）,concerns,هَم
顾问（六级）,consultant,مستشار
雇佣（六级）,hire,توظيف
拐杖（六级）,crutches,عكاز
关怀（六级）,care,الرعاية
关照（六级）,care,الرعاية
观光（六级）,sightseeing,اذهب لمشاهدة المعالم السياحية
官方（六级）,official,رسمي
管辖（六级）,jurisdiction,الاختصاص القضائي
贯彻（六级）,implement,ينفذ
惯例（六级）,convention,الاتفاقيات
灌溉（六级）,irrigation,الري
罐（六级）,can,يستطيع
光彩（六级）,brilliance,تألق
光辉（六级）,brilliance,إشراقة
光芒（六级）,light,ضوء
光荣（六级）,glorious,مجد
广阔（六级）,vast,واسع
归根到底（六级）,it all boils down to this.,خلاصة القول
归还（六级）,return,يعود
规范（六级）,specification,مواصفة
规格（六级）,specifications,مواصفة
规划（六级）,plan,تخطيط
规章（六级）,regulation,أنظمة
轨道（六级）,track,مسار
贵族（六级）,nobility,النبيل
跪（六级）,kneel,اركع
棍棒（六级）,stick,العصي
国防（六级）,national defense,الدفاع الوطني
国务院（六级）,state council,مجلس الدولة
果断（六级）,decisive,حاسم
过度（六级）,excessive,زيادة
过渡（六级）,transition,انتقال
过奖（六级）,overpraise,جائزة
过滤（六级）,filter,فلتر
过失（六级）,fault,عيب
过问（六级）,intervene,بسأل
过瘾（六级）,enjoyable,ممتع
过于（六级）,too,أيضاً
嗨（六级）,hi.,أهلاً
海拔（六级）,elevation,ارتفاع
海滨（六级）,seaside,شاطئ البحر
含糊（六级）,vague,غامض
含义（六级）,meaning,معنى
寒暄（六级）,pleasantries,تحيات
罕见（六级）,rare,نادر
捍卫（六级）,defend,الدفاع
行列（六级）,matrix,الرتب
航空（六级）,aviation,الطيران
航天（六级）,aerospace,الفضاء الجوي
航行（六级）,sail,الإبحار
毫米（六级）,mm,ملليمترات
毫无（六级）,none,لا
豪迈（六级）,heroic,بطولي
号召（六级）,call,يتصل
耗费（六级）,cost,استهلاك
呵（六级）,heh.,أوه
合并（六级）,merge,دمج
合成（六级）,synthesis,توليف
合伙（六级）,partnership,شراكة
合算（六级）,cost-effective,فعالة من حيث التكلفة
和蔼（六级）,kind,عطوف
和解（六级）,settlement,مصالحة
和睦（六级）,harmony,انسجام
和气（六级）,kind,سلمي
和谐（六级）,harmony,متناغم
嘿（六级）,hey!,يا
痕迹（六级）,trace,يتعقب
狠心（六级）,heartless,بلا قلب
恨不得（六级）,wish,أتمنى لو أستطيع
横（六级）,horizontal,أفقي
哼（六级）,humph,شخير
轰动（六级）,sensation,إحساس
烘（六级）,bake,خبز
宏观（六级）,macro,ماكرو
宏伟（六级）,magnificent,عظيم
洪水（六级）,flood,فيضان
哄（六级）,coax,كابل محوري
喉咙（六级）,throat,حُلقُوم
吼（六级）,roar,هدير
后代（六级）,descendant,الأحفاد
后顾之忧（六级）,worry,يقلق
后勤（六级）,logistics,الخدمات اللوجستية
候选（六级）,candidate,مُرَشَّح
呼唤（六级）,call,يتصل
呼啸（六级）,whistling,عواء
呼吁（六级）,appeal,يتصل
忽略（六级）,ignore,أهمل
胡乱（六级）,random,عرضًا
胡须（六级）,beard,لحية
湖泊（六级）,lake,بحيرة
花瓣（六级）,petal,بتلة
花蕾（六级）,bud,برعم
